ID,Flight Number,Origin,Destination,Status,Delay
1,SWR253  ,Switzerland,1742059444,unknown,0
2,SWR33E  ,Switzerland,1742059445,unknown,0
3,AAL972  ,United States,1742059445,unknown,0
4,UAL2087 ,United States,1742059445,unknown,0
5,LPE2111 ,Chile,1742059380,unknown,0
6,LXJ385  ,United States,1742059445,unknown,0
7,N452SM  ,United States,1742059445,unknown,0
8,DOW88   ,United States,1742059444,unknown,0
9,SKW3868 ,United States,1742059445,unknown,0
10,UAL1640 ,United States,1742059445,unknown,0
11,TVF15LL ,France,1742059426,unknown,0
12,EXS1BH  ,United Kingdom,1742059444,unknown,0
13,AIQ352  ,Thailand,1742059445,unknown,0
14,AIQ573  ,Thailand,1742059331,unknown,0
15,WGN4876 ,United States,1742059445,unknown,0
16,,United States,1742059439,unknown,0
17,AXB2811 ,India,1742059444,unknown,0
18,SWA1849 ,United States,1742059445,unknown,0
19,DAL3185 ,United States,1742059240,unknown,0
20,AIC466  ,India,1742059445,unknown,0
21,AAL1438 ,United States,1742059445,unknown,0
22,DAL2688 ,United States,1742059445,unknown,0
23,FHARM   ,France,1742059445,unknown,0
24,JZA356  ,Canada,1742059444,unknown,0
25,N309RR  ,United States,1742059204,unknown,0
26,,United States,1742059260,unknown,0
27,AIC2401 ,India,1742059436,unknown,0
28,AIQ3016 ,Thailand,1742059346,unknown,0
29,SWR1QW  ,Switzerland,1742059444,unknown,0
30,UAL1575 ,United States,1742059445,unknown,0
31,SWR561D ,Switzerland,1742059445,unknown,0
32,N35325  ,United States,1742059444,unknown,0
33,ENY4097 ,United States,1742059445,unknown,0
34,SWR341E ,Switzerland,1742059445,unknown,0
35,SWR2203 ,Switzerland,1742059445,unknown,0
36,SWR421Q ,Switzerland,1742059445,unknown,0
37,IJA800  ,United States,1742059445,unknown,0
38,DAL2908 ,United States,1742059445,unknown,0
39,UAL1105 ,United States,1742059445,unknown,0
40,CXK554  ,United States,1742059445,unknown,0
41,N25948  ,United States,1742059444,unknown,0
42,N371RA  ,United States,1742059444,unknown,0
43,N759PE  ,United States,1742059445,unknown,0
44,IGO1805 ,India,1742059445,unknown,0
45,SWR13Y  ,Switzerland,1742059280,unknown,0
46,SWR7KX  ,Switzerland,1742059445,unknown,0
47,EJA589  ,United States,1742059444,unknown,0
48,SWR36A  ,Switzerland,1742059444,unknown,0
49,N307WL  ,United States,1742059444,unknown,0
50,N3517S  ,United States,1742059445,unknown,0
51,SAA359  ,South Africa,1742059443,unknown,0
52,ASA1444 ,United States,1742059445,unknown,0
53,N15406  ,United States,1742059445,unknown,0
54,N6036Y  ,United States,1742059445,unknown,0
55,GVXNN   ,United Kingdom,1742059385,unknown,0
56,N4060G  ,United States,1742059445,unknown,0
57,AAL2217 ,United States,1742059136,unknown,0
58,JST226  ,Australia,1742059442,unknown,0
59,AXB1104 ,India,1742059445,unknown,0
60,SCX378  ,United States,1742059445,unknown,0
61,IGO057  ,India,1742059411,unknown,0
62,RVF307  ,United States,1742059444,unknown,0
63,N724SC  ,United States,1742059444,unknown,0
64,C6593   ,United States,1742059444,unknown,0
65,IGO877  ,India,1742059444,unknown,0
66,N555AZ  ,United States,1742059445,unknown,0
67,N1932P  ,United States,1742059445,unknown,0
68,AXB2748 ,India,1742059407,unknown,0
69,MXY117  ,United States,1742059444,unknown,0
70,LXJ545  ,United States,1742059444,unknown,0
71,VXP716  ,United States,1742059442,unknown,0
72,SKW5876 ,United States,1742059445,unknown,0
73,SWR3PZ  ,Switzerland,1742059445,unknown,0
74,DAL2094 ,United States,1742059445,unknown,0
75,MXY244  ,United States,1742059444,unknown,0
76,UAL1978 ,United States,1742059445,unknown,0
77,N53HA   ,United States,1742059419,unknown,0
78,UAL2195 ,United States,1742059445,unknown,0
79,VJA536  ,United States,1742059445,unknown,0
80,AXB2994 ,India,1742059445,unknown,0
81,TAP67U  ,Portugal,1742059445,unknown,0
82,TAP438T ,Portugal,1742059444,unknown,0
83,N2368P  ,United States,1742059443,unknown,0
84,SKL8    ,New Zealand,1742059445,unknown,0
85,ENY4183 ,United States,1742059443,unknown,0
86,AXB2665 ,India,1742059178,unknown,0
87,TAP437X ,Portugal,1742059445,unknown,0
88,TAP835  ,Portugal,1742059445,unknown,0
89,N26094  ,United States,1742059444,unknown,0
90,TAP781  ,Portugal,1742059263,unknown,0
91,UPS137  ,United States,1742059445,unknown,0
92,TVF8222 ,France,1742059445,unknown,0
93,TVF69GA ,France,1742059444,unknown,0
94,EZY703L ,United Kingdom,1742059443,unknown,0
95,N2068A  ,United States,1742059434,unknown,0
96,EJU62BW ,Austria,1742059444,unknown,0
97,TVF13NZ ,France,1742059445,unknown,0
98,TVF23UJ ,France,1742059444,unknown,0
99,SWA2944 ,United States,1742059440,unknown,0
100,DISCUS4 ,United States,1742059444,unknown,0
101,DAL349  ,United States,1742059445,unknown,0
102,SWA1268 ,United States,1742059444,unknown,0
103,MAD88   ,United States,1742059444,unknown,0
104,JRE770  ,United States,1742059294,unknown,0
105,DAL2065 ,United States,1742059445,unknown,0
106,SKW3603 ,United States,1742059445,unknown,0
107,TVF41GT ,France,1742059445,unknown,0
108,TAP083  ,Portugal,1742059445,unknown,0
109,N4776E  ,United States,1742059444,unknown,0
110,JST176  ,Australia,1742059444,unknown,0
111,TVF62XL ,France,1742059445,unknown,0
112,TVF88JM ,France,1742059445,unknown,0
113,SWR448G ,Switzerland,1742059444,unknown,0
114,DLH9YY  ,Germany,1742059445,unknown,0
115,EJU74RQ ,Austria,1742059445,unknown,0
116,AAL1001 ,United States,1742059167,unknown,0
117,N1207P  ,United States,1742059445,unknown,0
118,MBU6CQ  ,Estonia,1742059445,unknown,0
119,N959CR  ,United States,1742059445,unknown,0
120,TAP223  ,Portugal,1742059390,unknown,0
121,NSZ5610 ,Sweden,1742059445,unknown,0
122,GLO7718 ,Brazil,1742059445,unknown,0
123,GLO7681 ,Brazil,1742059264,unknown,0
124,N929CV  ,United States,1742059245,unknown,0
125,HBJFQ   ,Switzerland,1742059445,unknown,0
126,HBJFR   ,Switzerland,1742059445,unknown,0
127,AXB741  ,India,1742059444,unknown,0
128,DLH5TN  ,Germany,1742059444,unknown,0
129,NSZ4473 ,Sweden,1742059445,unknown,0
130,N959CF  ,United States,1742059445,unknown,0
131,,United States,,unknown,0
132,MBU5NH  ,Estonia,1742059445,unknown,0
133,PGT1922 ,Turkey,1742059252,unknown,0
134,PGT8DN  ,Turkey,1742059444,unknown,0
135,PGT2CP  ,Turkey,1742059445,unknown,0
136,PGT5FR  ,Turkey,1742059445,unknown,0
137,AXB744  ,India,1742059444,unknown,0
138,PGT38MA ,Turkey,1742059445,unknown,0
139,AAL1564 ,United States,1742059444,unknown,0
140,PGT1046 ,Turkey,1742059443,unknown,0
141,AXB695  ,India,1742059445,unknown,0
142,AIC2645 ,India,1742059438,unknown,0
143,DLH7PF  ,Germany,1742059444,unknown,0
144,AXB1163 ,India,1742059377,unknown,0
145,FNCP5678,Canada,1742059444,unknown,0
146,C6587   ,United States,1742059435,unknown,0
147,NCR887  ,United States,1742059229,unknown,0
148,N411DK  ,United States,1742059444,unknown,0
149,MBU7SZ  ,Estonia,1742059445,unknown,0
150,DLH6CX  ,Germany,1742059444,unknown,0
151,DAL107  ,United States,1742059445,unknown,0
152,LXJ484  ,United States,1742059445,unknown,0
153,DLH01A  ,Germany,1742059445,unknown,0
154,AXB1955 ,India,1742059443,unknown,0
155,DLH64U  ,Germany,1742059445,unknown,0
156,N281NX  ,United States,1742059445,unknown,0
157,EDV5186 ,United States,1742059445,unknown,0
158,DLH1304 ,Germany,1742059445,unknown,0
159,AAY1574 ,United States,1742059445,unknown,0
160,GPD123  ,United States,1742059442,unknown,0
161,LPE2052 ,Chile,1742059435,unknown,0
162,AIC762  ,India,1742059443,unknown,0
163,JBU436  ,United States,1742059443,unknown,0
164,JBU2064 ,United States,1742059444,unknown,0
165,N464DA  ,United States,1742059263,unknown,0
166,WMT7QJ  ,Hungary,1742059444,unknown,0
167,N746CX  ,United States,1742059445,unknown,0
168,WMT227  ,Hungary,1742059445,unknown,0
169,WZZ45RA ,Hungary,1742059444,unknown,0
170,WZZ86V  ,Hungary,1742059445,unknown,0
171,WZZ36JW ,Hungary,1742059445,unknown,0
172,EZY93EF ,United Kingdom,1742059444,unknown,0
173,SWA4046 ,United States,1742059444,unknown,0
174,AIC303  ,India,1742059443,unknown,0
175,MBU9PN  ,Estonia,1742059445,unknown,0
176,SKW4085 ,United States,1742059444,unknown,0
177,AUA214  ,Austria,1742059445,unknown,0
178,SWA3401 ,United States,1742059444,unknown,0
179,SKW3652 ,United States,1742059444,unknown,0
180,GLACB   ,United Kingdom,1742059445,unknown,0
181,LPE2369 ,Chile,1742059445,unknown,0
182,AAL2521 ,United States,1742059444,unknown,0
183,DAL663  ,United States,1742059445,unknown,0
184,BAW21T  ,United Kingdom,1742059445,unknown,0
185,NHZ02B  ,United Kingdom,1742059445,unknown,0
186,JBU1439 ,United States,1742059369,unknown,0
187,BNOB    ,Norway,1742059445,unknown,0
188,AIC2869 ,India,1742059422,unknown,0
189,JSX497  ,United States,1742059445,unknown,0
190,DAL1671 ,United States,1742059444,unknown,0
191,RPA4393 ,United States,1742059444,unknown,0
192,UAL8184 ,United States,1742059369,unknown,0
193,HI955   ,Dominican Republic,1742059444,unknown,0
194,SWA897  ,United States,1742059445,unknown,0
195,AMX761  ,Mexico,1742059129,unknown,0
196,SAS4773 ,Sweden,1742059438,unknown,0
197,ASA85   ,United States,1742059410,unknown,0
198,N8283J  ,United States,1742059445,unknown,0
199,N116TL  ,United States,1742059445,unknown,0
200,VJA141  ,United States,1742059444,unknown,0
201,AXB2114 ,India,1742059439,unknown,0
202,AAL757  ,United States,1742059441,unknown,0
203,UAL2443 ,United States,1742059445,unknown,0
204,DAL2827 ,United States,1742059444,unknown,0
205,SWR18P  ,Switzerland,1742059444,unknown,0
206,SWR16F  ,Switzerland,1742059444,unknown,0
207,SLI2437 ,Mexico,1742059184,unknown,0
208,RCH247  ,United States,1742059442,unknown,0
209,GLF55   ,United States,1742059445,unknown,0
210,VOE2321 ,Spain,1742059445,unknown,0
211,SWR52   ,Switzerland,1742059445,unknown,0
212,SKW5396 ,United States,1742059444,unknown,0
213,DLH6VV  ,Germany,1742059445,unknown,0
214,SAS7470 ,Sweden,1742059445,unknown,0
215,SCM20   ,Canada,1742059250,unknown,0
216,SAS7522 ,Sweden,1742059444,unknown,0
217,AAL599  ,United States,1742059444,unknown,0
218,DAL386  ,United States,1742059445,unknown,0
219,AMX1565 ,Mexico,1742059220,unknown,0
220,EJU14BD ,Austria,1742059445,unknown,0
221,LAO923  ,Lao People's Democratic Republic,1742059443,unknown,0
